latitude,longitude,address,name,details,borough,type
40.863494178779064,-73.9055094815747,,Devoe Park,Out in Open,X,
40.863292641104245,-73.90702155727483,,Devoe Park,Under Tree,X,
40.86320516078132,-73.91067313335898,,Fordham Landing Playground,"Near Ballfield, Out in Open",X,
40.86308279297302,-73.90777928489716,,Devoe Park,In Playground,X,
40.86296818008109,-73.79448488194481,,Pelham Bay Park,Out in Open,X,
40.862809666990216,-73.83666187359309,,Burns Playground,Under Tree,X,
40.862593816929376,-73.85824056931783,,Mazzei Playground,"Out in Open, Just Outside Playground",X,
40.86249444456085,-73.8581515062461,,Mazzei Playground,Under Tree,X,
40.8624767457428,-73.7941909938004,,Pelham Bay Park,Out in Open,X,
40.86214058719842,-73.89400367311778,,Bryan Park,Out in Open,X,
40.86207078169789,-73.89035591125649,,Rose Hill Park,"Under Tree, Out in Open",X,
40.86198393002011,-73.93030622080077,,Fort Tryon Park,Under Tree,M,
40.86183272766086,-73.79355815682896,,Pelham Bay Park,Under Tree,X,
40.86044726955975,-73.87150928548176,,Bronx Park,Under Tree,X,
40.86041397992527,-73.87145567529608,,Bronx Park,In Playground,X,
40.85968363035928,-73.93165190496376,,Fort Tryon Park,Under Tree,M,
40.859496597846665,-73.89297815269266,,Webster Playground,"In Playground, Under Tree",X,
40.85926988619952,-73.89287770909196,,Webster Playground,"Under Tree, In Shade",X,
40.859210556377754,-73.93446658322047,,Fort Tryon Park,"In Playground, Out in Open",M,
40.859045340318566,-73.87122286524018,,Bronx Park,Out in Open,X,
40.85840865275319,-73.87167975774608,,Bronx Park,Near Ballfield,X,
40.85821797126632,-73.80072517896106,,Pelham Bay Park,Near Ballfield,X,
40.85810346937851,-73.80207342551354,,Pelham Bay Park,Near Ballfield,X,
40.85775076469025,-73.9084264124752,,Aqueduct Walk,"Under Tree, Just Outside Playground",X,
40.85743476571745,-73.89862508699237,,Slattery Playground,Out in Open,X,
40.85733248476053,-73.89828793978151,,Slattery Playground,"Under Tree, In Playground",X,
40.8572902856671,-73.90885126413168,,Aqueduct Walk,"Under Tree, In Playground",X,
40.85713135913819,-73.89822052009131,,Slattery Playground,"Under Tree, In Playground",X,
40.85617124050251,-73.89483933457595,,Thorpe Family Playground,"Out in Open, In Playground",X,
40.85615821173764,-73.90728171432552,,Grand Playground,"Out in Open, In Playground",X,
40.85603078420298,-73.88657843724127,,Ciccarone Park,"Under Tree, Out in Open, In Playground",X,
40.85598567812933,-73.9073776407136,,Grand Playground,"Out in Open, In Playground",X,
40.85593523572355,-73.886705797808,,Ciccarone Park,"Out in Open, In Playground",X,
40.85581549091682,-73.89361686546435,,Washington Park,"Under Tree, Out in Open",X,
40.85554546144497,-73.91725948757886,,Cedar Playground,"Under Tree, In Playground",X,
40.85530991302039,-73.9321853928606,,Gorman Park,Under Tree,M,
40.8550370992898,-73.91775353436276,,Cedar Playground,Under Tree,X,
40.854981882377935,-73.9077000237716,,Davidson Playground,"In Playground, Under Tree",X,
40.85495264163522,-73.90760329480234,,Davidson Playground,"Under Tree, In Playground",X,
40.85480076063396,-73.91708648539199,,Cedar Playground,Under Tree,X,
40.8546314409781,-73.90386307130875,,Morris Garden,"Out in Open, In Playground",X,
40.85437965907432,-73.87010621215425,,Bronx Park,In Playground,X,
40.853845296730135,-73.91666129037834,,Beanstalk Playground,"In Playground, Under Tree",X,
40.85329052582363,-73.88903778903499,,D'Auria-Murphy Triangle,Under Tree,X,
40.85315471840635,-73.937946101625,,Bennett Park,In Playground,M,
40.853046489613305,-73.87056454660726,,Bronx Park,Near Ballfield,X,
40.85296114551734,-73.87022953901621,,Bronx Park,Near Ballfield,X,
40.8527334445355,-73.93776785859215,,Bennett Park,Under Tree,M,
40.85254534603263,-73.8346608845149,,Colucci Playground,"Under Tree, Near Ballfield",X,
40.85253331723024,-73.8945295242576,,Charles W Cooke Farm Garden,"Just Outside Playground, Out in Open",X,
40.852269040419785,-73.83455147576306,,Colucci Playground,Out in Open,X,
40.85219651668229,-73.83518761032232,,Colucci Playground,"Under Tree, In Playground",X,
40.85210905737235,-73.89451248404792,,Bathgate Playground,In Playground,X,
40.851833517068165,-73.82475396658513,,Pelham Bay Park,Out in Open,X,
40.851828669860204,-73.82477244057281,,Pelham Bay Park,Out in Open,X,
40.851641296646086,-73.87023834366957,,Bronx Park,Near Ballfield,X,
40.85145692175979,-73.86868101701872,,Bronx Park,In Playground,X,
40.851236253271786,-73.82600985761232,,Pelham Bay Park,In Playground,X,
40.851088948669336,-73.91443525910671,,Aqueduct Walk,"Under Tree, In Playground",X,
40.85108220146036,-73.87021901309186,,Bronx Park,Under Tree,X,
40.8510772556585,-73.81988311720148,,Pelham Bay Park,Near Ballfield,X,
40.85081835790007,-73.89154110487061,,Quarry Ballfields,"Near Ballfield, Out in Open",X,
40.85055906213384,-73.88752204842783,,Belmont Playground,,X,
40.85055610243307,-73.89049575972305,,Quarry Ballfields,"Near Ballfield, In Shade",X,
40.850340454019495,-73.90925467453336,,Mount Hope Playground,Under Tree,X,
40.85015932655147,-73.90946353721453,,Mount Hope Playground,"Under Tree, In Playground",X,
40.850066663034504,-73.88758213155072,,Belmont Playground,,X,
40.8500568300456,-73.88801211403737,,Belmont Playground,,X,
40.84991934553926,-73.88725954835934,,Belmont Playground,,X,
40.84983826465033,-73.9467194315657,,Fort Washington Park,Out in Open,M,
40.84974402465259,-73.82331338116805,,Pelham Bay Park,Near Ballfield,X,
40.84960550930665,-73.85244632456761,,Loreto Playground,In Playground,X,
40.8494622892649,-73.90210121151215,,Richman (Echo) Park,"In Playground, Under Tree",X,
40.849328984790375,-73.82474512733376,,Pelham Bay Park,Near Ballfield,X,
40.849284619788286,-73.85267340668626,,Loreto Playground,Under Tree,X,
40.84897941173487,-73.85206099221641,,Loreto Playground,In Playground,X,
40.84888173188497,-73.82222970159874,,Pelham Bay Park,Near Ballfield,X,
40.84886893944881,-73.92512636318163,,Bridge Park,Out in Open,X,
40.84865199096108,-73.91581337189061,,Galileo Playground,"Under Tree, In Playground",X,
40.848643444563194,-73.94650815269067,,Fort Washington Park,"Out in Open, In Playground",M,
40.84863420588926,-73.91567357898975,,Galileo Playground,"Under Tree, In Playground",X,
40.84860091201041,-73.85193049271551,,Loreto Playground,Under Tree,X,
