,geometry,name,details,borough
2693,POINT (-73.84032487256374 40.74938567086736),Flushing Meadows Corona Park,Out in Open,Q
2694,POINT (-73.88426792970742 40.83641351054257),Eae J Mitchell Park,Out in Open,X
2695,POINT (-73.89485619139423 40.84197098129019),Crotona Park,"Under Tree, Just Outside Playground",X
2696,POINT (-73.8120655812402 40.746109650511904),Kissena Park,Near Ballfield,Q
2697,POINT (-73.8779267990796 40.87659246321491),Williamsbridge Oval,In Playground,X
2698,POINT (-73.97613750976775 40.57345201414842),Coney Island Beach & Boardwalk,Out in Open,B
2699,POINT (-73.97535541750379 40.736683316711535),Asser Levy Playground,In Playground,M
2700,POINT (-74.03872537929905 40.633306744604),Shore Park and Parkway,Near Ballfield,B
2701,POINT (-73.96802288598582 40.78126997403912),Central Park,"Under Tree, In Shade, Near Ballfield",M
2702,POINT (-73.83795802566733 40.81507991288119),Ferry Point Park,Out in Open,X
2703,POINT (-73.92380514154523 40.632887134633805),Fox Playground,"Out in Open, In Playground",B
2704,POINT (-73.94723405536583 40.63777438013166),Nostrand Playground,"Out in Open, Near Ballfield",B
2705,POINT (-73.96433647221895 40.752843139289034),Peter Detmold Park,Out in Open,M
2706,POINT (-74.01628256857417 40.70242813558929),The Battery,Under Tree,M
2707,POINT (-73.78526279299034 40.59298881520788),Arverne Playground,"Under Tree, In Playground",Q
2708,POINT (-73.90691296696805 40.660911931082026),Newport Playground,Out in Open,B
2709,POINT (-73.9709234506013 40.577116158755786),Century Playground,"Out in Open, In Playground",B
2710,POINT (-73.87782604036218 40.818926274770156),Soundview Park,Near Ballfield,X
2711,POINT (-73.8392505832115 40.747680183754085),Flushing Meadows Corona Park,Under Tree,Q
2712,POINT (-73.76985689821846 40.73579905750077),Cunningham Park,"Near Ballfield, Out in Open",Q
2713,POINT (-73.9497266649561 40.69566544001169),Marcy Playground,"In Playground, Under Tree",B
2714,POINT (-73.9301856659077 40.682932262399355),El Shabazz Playground,In Playground,B
2715,POINT (-73.84796365350252 40.82993337500291),Havemeyer Playground,"Under Tree, In Playground",X
2716,POINT (-73.77085785807303 40.68473369526063),Roy Wilkins Recreation Center,Near Ballfield,Q
