,geometry,name,details,borough
649,POINT (-73.9009835805382 40.8804257944149),Cooney Grauer Field,,X
650,POINT (-73.93614284968338 40.60777632604327),Marine Park,"Out in Open, Near Ballfield",B
651,POINT (-73.73992509317858 40.742046644702334),Alley Pond Park,"In Shade, Out in Open",Q
652,POINT (-73.95437253975311 40.7968383852681),Central Park,Out in Open,M
653,POINT (-73.89456014662602 40.84468835591079),Tremont Park,Out in Open,X
654,POINT (-73.74391578654551 40.59936010162052),Lannett Playground,In Playground,Q
655,POINT (-73.8825278452856 40.718443383887355),Juniper Valley Park,In Playground,Q
656,POINT (-73.86977922768166 40.736330913542076),Newtown Playground,Just Outside Playground,Q
657,POINT (-73.74212365213435 40.662230986445515),Brookville Park,Just Outside Playground,Q
658,POINT (-73.8116674657143 40.7614825876441),Murray Hill Playground,Just Outside Playground,Q
659,POINT (-73.93791388721887 40.63855012701613),Paerdegat Park,"Out in Open, In Playground",B
660,POINT (-73.96074144642643 40.69591290512406),Taaffe Playground,In Playground,B
661,POINT (-73.80644913061357 40.66738272074528),Police Officer Edward Byrne Park,Under Tree,Q
662,POINT (-73.9064675681541 40.82906849992781),Estella Diggs Park,"Out in Open, Just Outside Playground",X
663,POINT (-73.99869457268525 40.691703502441804),Adam Yauch Park,"Under Tree, Out in Open, Just Outside Playground",B
664,POINT (-73.94189794111522 40.79697613631986),James Weldon Johnson Playground,"Under Tree, Near Ballfield, In Playground",M
665,POINT (-73.96063965079344 40.79344262582424),Central Park,"Near Ballfield, Under Tree, In Shade",M
666,POINT (-73.92236551700071 40.74116348497076),L/CPL Thomas P. Noonan Jr. Playground,"Under Tree, Just Outside Playground",Q
667,POINT (-73.99459155659433 40.76799132946145),De Witt Clinton Park,"Near Ballfield, Just Outside Playground",M
668,POINT (-73.94127356008413 40.82599209888858),Jackie Robinson Park,"Under Tree, In Playground",M
669,POINT (-73.92824602046691 40.700198125427946),Fermi Playground,"In Playground, Under Tree, In Shade",B
670,POINT (-73.96394455565456 40.663567889819596),Prospect Park,Out in Open,B
671,POINT (-73.91744054653259 40.77134056883013),Hoyt Playground,"In Playground, Near Ballfield",Q
672,POINT (-73.80537431286639 40.58876674112269),Beach Channel Playground,In Playground,Q
673,POINT (-73.89041139095859 40.83789680223599),Crotona Park,Out in Open,X
674,POINT (-73.89870519234373 40.83810030670623),Crotona Park,"Out in Open, Near Ballfield, In Shade",X
675,POINT (-73.88221585178775 40.74200153055429),Moore Homestead Playground,"Under Tree, Out in Open",Q
676,POINT (-73.76972776017713 40.77424875333919),John Golden Park,Near Ballfield,Q
677,POINT (-73.87021901309186 40.85108220146036),Bronx Park,Under Tree,X
678,POINT (-73.85783783064402 40.70045230021199),Forest Park,Out in Open,Q
679,POINT (-74.06731489482969 40.58815718429802),Franklin D. Roosevelt Boardwalk and Beach,Near Ballfield,R
680,POINT (-74.01956157320075 40.65335932915017),Bush Terminal Park,Near Ballfield,B
681,POINT (-73.96870625908174 40.77942692954387),Central Park,"Under Tree, In Shade",M
682,POINT (-73.97876148116036 40.65425923008954),Thomas J. Cuite Park,In Playground,B
683,POINT (-73.9415014306686 40.58356054388273),Tucker Place,Out in Open,B
684,POINT (-73.91628135578715 40.794721294494444),Randall's Island Park,"Out in Open, Near Ballfield",M
685,POINT (-73.98084319821716 40.726435420269055),Tompkins Square Park,"Near Ballfield, Just Outside Playground",M
686,POINT (-74.00171028197839 40.692898356275464),Brooklyn Bridge Park,Out in Open,B
687,POINT (-73.99111489489016 40.698500233652204),Cadman Plaza Park,"Under Tree, Out in Open",B
688,POINT (-73.80774250896407 40.77055804539364),Bowne Park,"Under Tree, In Shade",Q
689,POINT (-73.9200415083878 40.87452978392946),Inwood Hill Park,Near Ballfield,M
690,POINT (-73.9355350401616 40.82481148431215),Frederick Johnson Playground,"In Shade, Under Tree, Near Ballfield",M
691,POINT (-73.83756874989746 40.810506448204194),Ferry Point Park,"Out in Open, Near Ballfield",X
692,POINT (-73.74232042193965 40.68883306552636),Cambria Playground,In Playground,Q
693,POINT (-73.86071457402264 40.73375589117081),Horace Harding Playground,Out in Open,Q
694,POINT (-73.96675705083153 40.77380009005511),Central Park,"Under Tree, In Shade",M
695,POINT (-73.9456682225166 40.791823075624855),White Park,"In Playground, Near Ballfield",M
696,POINT (-73.95786912244233 40.79026902673702),Central Park,"Near Ballfield, Under Tree, In Shade",M
697,POINT (-73.90439868959314 40.678203467520426),Callahan-Kelly Playground,"Under Tree, Out in Open, In Shade",B
698,POINT (-73.95623945709546 40.70901154415397),Rodney Park North,"Under Tree, In Playground",B
699,POINT (-73.9020947334192 40.73820026475878),Nathan Weidenbaum Park,"Under Tree, In Playground",Q
700,POINT (-73.77972998970635 40.69303348849961),St. Albans Park,Out in Open,Q
701,POINT (-74.07759279599435 40.57808346562725),Franklin D. Roosevelt Boardwalk and Beach,Out in Open,R
702,POINT (-73.933874305617 40.84214988394527),Highbridge Park,Out in Open,M
703,POINT (-73.97367596464233 40.66111423330639),Prospect Park,"Out in Open, Near Ballfield",B
704,POINT (-73.94192648402338 40.67899444809617),St. Andrew's Playground,"Under Tree, In Playground",B
705,POINT (-73.89505308577438 40.86425547522381),Poe Park,Out in Open,X
706,POINT (-73.83323814210081 40.750972641101534),Flushing Meadows Corona Park,Near Ballfield,Q
707,POINT (-73.78802466379594 40.668991836754884),Baisley Pond Park,In Playground,Q
708,POINT (-73.9886162524581 40.78067031941679),Riverside Park South,Out in Open,M
709,POINT (-73.97595762375767 40.767597247731246),Central Park,Out in Open,M
710,POINT (-73.90167507202321 40.65676092471323),Brownsville Playground,"Under Tree, In Shade, Just Outside Playground",B
711,POINT (-73.9656417462942 40.67676095920854),Underhill Playground,In Playground,B
712,POINT (-73.75773068535814 40.699650776152),Daniel M. O'Connell Playground,In Playground,Q
713,POINT (-73.97453801961827 40.79687981684285),Riverside Park,Under Tree,M
714,POINT (-73.93822064356422 40.84163784919937),Audubon Playground,Out in Open,M
715,POINT (-73.97745222316415 40.71161416166946),John V. Lindsay East River Park,Near Ballfield,M
716,POINT (-73.87150928548176 40.86044726955975),Bronx Park,Under Tree,X
717,POINT (-74.09141078738381 40.5674446704294),Franklin D. Roosevelt Boardwalk and Beach,Out in Open,R
718,POINT (-73.84784203028038 40.72633923715571),Yellowstone Park,Under Tree,Q
719,POINT (-73.99819159602784 40.730763323367164),Washington Square Park,Out in Open,M
720,POINT (-73.99010137418351 40.763280087259),Gutenberg Playground,"In Playground, Under Tree, In Shade",M
721,POINT (-73.85121336579608 40.79188928306527),Macneil Park,Near Ballfield,Q
722,POINT (-74.0075138902283 40.7032096722549),East River Waterfront Esplanade,In Shade,M
723,POINT (-73.95252343473513 40.82038582097823),Jacob H. Schiff Playground,"Near Ballfield, Just Outside Playground",M
724,POINT (-74.01469855539871 40.610261764328044),Dyker Beach Park,Near Ballfield,B
725,POINT (-74.0045371235371 40.64757232729562),Sunset Park,"In Playground, Out in Open",B
726,POINT (-73.92152574076425 40.74712674998846),Torsney Playground,Out in Open,Q
727,POINT (-73.77363101785245 40.72904529111053),Cunningham Park,"Out in Open, Near Ballfield",Q
728,POINT (-73.84809520672721 40.67147010318032),Tudor Park,Out in Open,Q
729,POINT (-73.93154024482182 40.78601956881132),Wards Island Park,Near Ballfield,M
730,POINT (-73.99534150090524 40.700940882782184),Squibb Park,Out in Open,B
731,POINT (-73.90211184552072 40.66396446078934),Livonia Park,"Under Tree, In Shade",B
732,POINT (-73.9331209716093 40.75751202262618),Dutch Kills Playground,"Under Tree, Out in Open",Q
733,POINT (-73.91668623601305 40.80426532711726),Millbrook Playground,"Out in Open, In Playground",X
734,POINT (-73.78406400976091 40.675441367117394),Baisley Pond Park,Out in Open,Q
735,POINT (-73.81293503116964 40.69931465633155),Howard Von Dohlen Playground,In Playground,Q
736,POINT (-73.95339503168559 40.82600159967381),Riverside Park,"Out in Open, Just Outside Playground",M
737,POINT (-73.76976419853345 40.68654608065911),Roy Wilkins Recreation Center,Under Tree,Q
738,POINT (-73.91302837000838 40.69613061003914),Bushwick Playground,"Out in Open, Near Ballfield",B
739,POINT (-73.99042922905407 40.68462908263084),Boerum Park,In Playground,B
740,POINT (-73.79441368763484 40.86587071315581),Pelham Bay Park,Out in Open,X
741,POINT (-73.86009273279399 40.72074164786574),The Painter's Playground,"Out in Open, Just Outside Playground",Q
742,POINT (-73.8859252454458 40.81422572279497),Hunts Point Playground,In Shade,X
743,POINT (-74.10442130107785 40.616459622004776),Clove Lakes Park,Out in Open,R
744,POINT (-74.01814085563454 40.70789774829332),Battery Park City,Out in Open,M
745,POINT (-74.01514443921639 40.70204198579384),The Battery,Under Tree,M
746,POINT (-73.97827776513877 40.57631327612181),Luna Park,"Near Ballfield, Out in Open",B
747,POINT (-73.77489893752461 40.67421173805833),Rochdale Park,In Playground,Q
748,POINT (-73.84429750036576 40.74555141123309),Flushing Meadows Corona Park,Under Tree,Q
749,POINT (-73.92593784248368 40.687670160471534),P.O. Reinaldo Salgado Playground,Near Ballfield,B
750,POINT (-74.03898702985074 40.632574541190365),Shore Park and Parkway,Near Ballfield,B
751,POINT (-73.97439795312285 40.71968567547494),John V. Lindsay East River Park,Near Ballfield,M
752,POINT (-73.95799115668036 40.6916272549908),Star Spangled Playground,Under Tree,B
753,POINT (-73.90728171432552 40.85615821173764),Grand Playground,"Out in Open, In Playground",X
754,POINT (-73.98441248523646 40.623817301199175),Gravesend Park,"Out in Open, In Playground",B
755,POINT (-74.0011693664107 40.5977514401594),Bensonhurst Park,"Near Ballfield, Out in Open",B
756,POINT (-73.85063916867145 40.664649426470156),Harold Schneiderman Playground,In Playground,Q
757,POINT (-73.97385856842527 40.66077245692327),Prospect Park,"Out in Open, Near Ballfield",B
758,POINT (-73.93542908619297 40.67439661834205),St. John's Recreation Center,"Out in Open, Near Ballfield",B
759,POINT (-73.83594911860082 40.57778749039773),Rockaway Beach,Out in Open,Q
760,POINT (-73.94981936556829 40.768945030251516),John Jay Park,Out in Open,M
761,POINT (-73.94119851636638 40.61998303228804),Fraser Square,Out in Open,B
762,POINT (-73.94636616795937 40.575938219238935),Manhattan Beach Park,Out in Open,B
763,POINT (-73.9190851521163 40.62594245186739),Jacob Joffe Fields,"Out in Open, Near Ballfield",B
764,POINT (-74.00216344533202 40.64759342623549),Sunset Park,In Playground,B
765,POINT (-73.82137592900415 40.71197986787882),Hoover - Manton Playgrounds,In Playground,Q
766,POINT (-73.84193910813754 40.746495499913266),Flushing Meadows Corona Park,Out in Open,Q
767,POINT (-73.75774152997224 40.71327232856396),Haggerty Park,Near Ballfield,Q
768,POINT (-73.92503785254716 40.807779680419344),Lozada Playground,In Playground,X
769,POINT (-73.95775137402384 40.75934225241031),Andrew Haswell Green Park,Out in Open,M
770,POINT (-73.97186762118542 40.65223244852575),Prospect Park,Out in Open,B
771,POINT (-73.97615204446086 40.57345080416009),Coney Island Beach & Boardwalk,Out in Open,B
772,POINT (-73.90206338593595 40.71883687341471),Reiff Playground,"In Shade, Just Outside Playground",Q
773,POINT (-74.07677070174022 40.62675053088382),Tappen Park,Out in Open,R
774,POINT (-73.95486770167905 40.810481575830536),Playground One Twenty Five CXXV,Near Ballfield,M
775,POINT (-73.99025621887462 40.5877872108368),Calvert Vaux Park,"Under Tree, In Shade, Just Outside Playground",B
776,POINT (-73.92387867510826 40.63266361134447),Fox Playground,"Under Tree, Out in Open, Just Outside Playground",B
777,POINT (-74.15489467266116 40.60692384251561),Willowbrook Park,Near Ballfield,R
778,POINT (-73.95789962433184 40.60446267705683),Kelly Park,Out in Open,B
779,POINT (-73.96802508382915 40.75181108734201),Dag Hammarskjold Plaza,Out in Open,M
780,POINT (-73.97709123913513 40.66339652393596),Prospect Park,"Out in Open, In Playground",B
781,POINT (-73.76971862345277 40.77330172342173),John Golden Park,Near Ballfield,Q
782,POINT (-73.84941231729981 40.740931774935525),Flushing Meadows Corona Park,In Playground,Q
783,POINT (-73.87622269403575 40.6794330037846),City Line Park,"In Shade, Near Ballfield",B
784,POINT (-73.87593103348955 40.87801849837967),Williamsbridge Oval,Out in Open,X
785,POINT (-73.85295454667163 40.736211732352764),Playground Sixty Two LXII,Near Ballfield,Q
786,POINT (-74.1947444497487 40.56180332948528),Freshkills Park,Near Ballfield,R
787,POINT (-73.75015576227152 40.740610888808824),Alley Pond Park,Out in Open,Q
788,POINT (-73.96888152180203 40.78055635512876),Central Park,"Under Tree, Out in Open",M
789,POINT (-73.96063471911216 40.7301016420227),WNYC Transmitter Park,"Out in Open, Just Outside Playground",B
790,POINT (-73.92877308812115 40.867246499895224),Inwood Hill Park,In Playground,M
791,POINT (-73.98857835651701 40.71219481271364),Little Flower Playground,"Under Tree, Just Outside Playground, Near Ballfield",M
792,POINT (-73.94698341046764 40.8122383785103),St. Nicholas Playground North,"Near Ballfield, Under Tree, Just Outside Playground",M
793,POINT (-73.97153220943159 40.68894901815161),Edmonds Playground,"Out in Open, In Playground",B
794,POINT (-73.79132386731557 40.869661873428186),Pelham Bay Park,Under Tree,X
795,POINT (-73.8504468840541 40.74624860983386),Flushing Meadows Corona Park,Under Tree,Q
796,POINT (-73.76864162333601 40.73609736241555),Cunningham Park,"Out in Open, Near Ballfield",Q
797,POINT (-74.11022936741053 40.64304857079267),Walker Park,Near Ballfield,R
798,POINT (-73.73492448589441 40.76213588548124),Louis Pasteur Park,In Playground,Q
799,POINT (-73.92637398686408 40.606495519995285),Marine Park,In Playground,B
800,POINT (-73.93484302270564 40.82530296146139),Harlem Lane Playground,"Under Tree, Near Ballfield, Just Outside Playground",M
801,POINT (-73.9513189955382 40.794479169846326),Central Park,Out in Open,M
802,POINT (-73.74243376363329 40.68855902980844),Cambria Playground,In Playground,Q
803,POINT (-73.93387376882052 40.679655693940674),Fulton Park,,B
804,POINT (-73.87144485173016 40.76560679414878),East Elmhurst Playground,"Out in Open, Just Outside Playground",Q
805,POINT (-73.74468190867563 40.59562736052266),Beach 9 Playground,In Playground,Q
806,POINT (-73.90329275912869 40.833156743351516),Drew Playground,"Just Outside Playground, Out in Open",X
807,POINT (-73.75693440722569 40.67393397842264),Montbellier Park,In Playground,Q
808,POINT (-73.96567923056917 40.78967090928818),Central Park,In Playground,M
809,POINT (-73.95871026971214 40.78431795116971),Central Park,Out in Open,M
810,POINT (-73.85113044656136 40.707601850619),Forest Park,In Playground,Q
811,POINT (-73.97214880659322 40.600497203068116),McDonald Playground,Out in Open,B
812,POINT (-73.9489760837491 40.769199405157565),John Jay Park,Out in Open,M
813,POINT (-73.7411948128765 40.74196808796241),Alley Pond Park,"In Shade, Just Outside Playground",Q
814,POINT (-73.80072517896106 40.85821797126632),Pelham Bay Park,Near Ballfield,X
815,POINT (-73.85462335405809 40.70237776321849),Forest Park,Near Ballfield,Q
816,POINT (-73.95935160168357 40.57505373322257),Coney Island Beach & Boardwalk,Out in Open,B
817,POINT (-73.83999897340489 40.74459923188367),Flushing Meadows Corona Park,Under Tree,Q
818,POINT (-73.98668548395352 40.60791958388961),Seth Low Playground/ Bealin Square,Out in Open,B
819,POINT (-73.89358895950126 40.65404644440156),Breukelen Ballfields,"Under Tree, Out in Open, Near Ballfield",B
820,POINT (-73.91098259074904 40.61240295429488),Lindower Park,"Out in Open, Just Outside Playground",B
821,POINT (-73.9881139604993 40.684853487337236),Nicholas Naquan Heyward Jr. Park,In Playground,B
822,POINT (-74.10720055282884 40.61826863270475),Clove Lakes Park,Near Ballfield,R
823,POINT (-73.77358437206277 40.674984787293354),Rochdale Park,Under Tree,Q
824,POINT (-73.84589339065099 40.74546499173894),Flushing Meadows Corona Park,Out in Open,Q
825,POINT (-73.90185665253958 40.83157158567185),Beatty Plaza,"Under Tree, In Shade",X
826,POINT (-74.03484888908284 40.64032369984649),Owl's Head Park,Out in Open,B
827,POINT (-73.872234628141 40.817976578020634),Soundview Park,Near Ballfield,X
828,POINT (-73.98487308956838 40.70045155521341),Bridge Park 3,Out in Open,B
829,POINT (-73.85825124307124 40.70005151617978),Forest Park,In Shade,Q
830,POINT (-73.89263375608628 40.876965542686165),Harris Park,"Near Ballfield, Out in Open",X
831,POINT (-73.80955252367886 40.585025139935354),Rockaway Beach Boardwalk,"Out in Open, Just Outside Playground",Q
832,POINT (-74.07597009277293 40.64182023496066),Barrett Triangle,Out in Open,R
833,POINT (-74.02009326916348 40.65239023050206),Bush Terminal Park,Near Ballfield,B
834,POINT (-73.94146166770278 40.82138179237663),Renaissance Playground,Near Ballfield,M
835,POINT (-73.90406952813515 40.664452967100246),Van Dyke Playground,"Under Tree, In Shade",B
836,POINT (-73.84890736106092 40.743136482784834),Flushing Meadows Corona Park,Under Tree,Q
837,POINT (-73.82051690019053 40.71850655618584),Judge Moses Weinstein Playground,Near Ballfield,Q
838,POINT (-73.77179552189398 40.73524064639295),Cunningham Park,"Out in Open, Near Ballfield",Q
839,POINT (-73.96132928963269 40.81855728100816),West Harlem Piers,Out in Open,M
840,POINT (-73.72691452383496 40.68488878724509),Laurelton Parkway,Out in Open,Q
841,POINT (-73.96770986393 40.65098964282986),Parade Ground,"Under Tree, Near Ballfield",B
842,POINT (-73.87175369655377 40.8376468543322),Noble Playground,Near Ballfield,X
843,POINT (-73.90124431066046 40.826020518489194),Behagen Playground,"Out in Open, Near Ballfield",X
844,POINT (-73.89833647800462 40.619860501797),Belt Parkway/Shore Parkway,"Out in Open, Near Ballfield",B
845,POINT (-73.9721622821201 40.72520985965128),John V. Lindsay East River Park,Near Ballfield,M
846,POINT (-73.94274189986473 40.82401769094143),Jackie Robinson Park,"In Shade, Just Outside Playground",M
847,POINT (-73.88783071962041 40.67080073733966),Sutter Ballfields,Near Ballfield,B
848,POINT (-74.0080277762837 40.67270686694591),Red Hook Recreation Area,Out in Open,B
849,POINT (-74.00511839234181 40.68432566131259),Mother Cabrini Park,In Playground,B
850,POINT (-73.94881418352253 40.69722353523503),Stockton Playground,"Under Tree, In Playground",B
851,POINT (-74.0839160928226 40.638869255098705),Liotti Ikefugi Playground,In Shade,R
852,POINT (-73.87881496771051 40.81757771324075),Soundview Park,Near Ballfield,X
853,POINT (-73.95071798059855 40.79989729592403),Martin Luther King Jr. Playground,"Near Ballfield, In Playground",M
854,POINT (-73.95926554135279 40.79099634707086),Central Park,"In Playground, Out in Open",M
855,POINT (-73.91610625888434 40.88543849976244),Seton Park,Out in Open,X
856,POINT (-73.89772825958961 40.82676731746211),Rev J Polite Playground,In Playground,X
857,POINT (-73.75850736554943 40.59916978432136),Grassmere Playground,Near Ballfield,Q
858,POINT (-73.80554179702263 40.58620068709715),Rockaway Beach Boardwalk,Out in Open,Q
859,POINT (-73.78768220174804 40.74469540341895),Kissena Corridor Park,In Playground,Q
860,POINT (-74.00188408269683 40.71487722013969),Thomas Paine Park,Out in Open,M
861,POINT (-73.91169533684732 40.664225206828284),Betsy Head Park,Just Outside Playground,B
862,POINT (-73.91399899171756 40.64924212879903),Railroad Playground,"Out in Open, In Playground",B
863,POINT (-73.94059488686253 40.66239936748259),Hamilton Metz Field,Out in Open,B
864,POINT (-73.89409488956684 40.83909548534704),Crotona Park,Out in Open,X
865,POINT (-73.94666789285907 40.59788153086625),Galapo Playground,In Playground,B
866,POINT (-73.88641265254807 40.74411284389976),Frank D. O'Connor Playground,Just Outside Playground,Q
867,POINT (-73.96893357352158 40.78940889523536),Sol Bloom Playground,"Near Ballfield, In Playground",M
868,POINT (-73.9135719536186 40.68166702111084),Marion Hopkinson Playground,"Under Tree, In Shade",B
869,POINT (-73.87851014691479 40.87772860700298),Williamsbridge Oval,"Just Outside Playground, Under Tree",X
870,POINT (-73.98672289313475 40.57240737604474),Coney Island Beach & Boardwalk,Out in Open,B
871,POINT (-73.85482947753904 40.755488059978795),Hinton Park,Near Ballfield,Q
872,POINT (-73.89665258417033 40.74234315413835),Crosson Green,Out in Open,Q
873,POINT (-73.9780546761505 40.740252757517084),Bellevue South Park,In Playground,M
874,POINT (-74.00005580010607 40.60899815414499),Garibaldi Playground,"Out in Open, Just Outside Playground",B
875,POINT (-73.9321853928606 40.85530991302039),Gorman Park,Under Tree,M
876,POINT (-74.00560879807102 40.67195825984814),Red Hook Recreation Area,"Out in Open, Near Ballfield",B
877,POINT (-73.89937817405307 40.64654090707357),100% Playground,"Under Tree, Out in Open, In Shade, Near Ballfield",B
878,POINT (-73.89107843541382 40.65048657281689),Breukelen Ballfields,"Out in Open, Near Ballfield",B
879,POINT (-73.9897644819069 40.661177491097675),Slope Park,In Playground,B
880,POINT (-73.80093507161138 40.71564007088349),Joseph Austin Playground,In Playground,Q
881,POINT (-73.90494026014913 40.86378086219101),Devoe Park,"Out in Open, In Playground",X
882,POINT (-73.939425677638 40.59821859410684),Herman Dolgon Playground,In Playground,B
883,POINT (-74.09421989896165 40.62682071365752),Silver Lake Park,Under Tree,R
884,POINT (-73.98157137935475 40.725669641801375),Tompkins Square Park,"Under Tree, Just Outside Playground",M
885,POINT (-74.00279512364283 40.69370442912167),Brooklyn Bridge Park,Out in Open,B
886,POINT (-73.90613666631432 40.655935613294034),Osborn Playground,Out in Open,B
887,POINT (-74.00122646059248 40.73734332672856),NYC AIDS Memorial Park at St. Vincent’s Triangle,Out in Open,M
888,POINT (-73.94439434740653 40.7832649277506),Stanley Isaacs Playground,Out in Open,M
889,POINT (-73.97701037028177 40.712816833268796),John V. Lindsay East River Park,Near Ballfield,M
890,POINT (-73.8654369513812 40.732074194231096),Lost Battalion Hall Recreation Center,Under Tree,Q
891,POINT (-73.99775063318927 40.73154825000788),Washington Square Park,"Under Tree, Just Outside Playground",M
892,POINT (-73.9501102546543 40.720933102698844),McCarren Park,"Under Tree, In Playground",B
893,POINT (-73.93922233302175 40.71879752181938),Frost Playground,"Under Tree, In Shade, In Playground",B
894,POINT (-73.84714009945814 40.76093415618855),Flushing Meadows Corona Park,Under Tree,Q
895,POINT (-74.0830635522819 40.574242004923335),Franklin D. Roosevelt Boardwalk and Beach,Near Ballfield,R
896,POINT (-73.97764810634683 40.79360001650474),Riverside Park,Just Outside Playground,M
897,POINT (-73.92399684329807 40.7934613247064),Randall's Island Park,Near Ballfield,M
898,POINT (-74.03627061662476 40.62683898969621),Fort Hamilton Athletic Field,Near Ballfield,B
899,POINT (-73.96444483341175 40.65989478788948),Prospect Park,Out in Open,B
900,POINT (-74.07259510381226 40.628190333721555),Stapleton Esplanade,Out in Open,R
901,POINT (-73.92298915305912 40.800065753793604),Randall's Island Park,Out in Open,M
902,POINT (-74.00396403532989 40.706186849450475),Imagination Playground,Out in Open,M
903,POINT (-73.89080259283395 40.87621864004125),Harris Park,"Near Ballfield, Out in Open",X
904,POINT (-73.76080959263098 40.592528056268655),Beach 30th Street Playground,In Playground,Q
905,POINT (-73.88258463237801 40.719779302519086),Juniper Valley Park,Near Ballfield,Q
906,POINT (-73.89767639896174 40.82401739511387),Horseshoe Playground,In Playground,X
907,POINT (-73.9045985831213 40.726981737697734),Frank Principe Park,Under Tree,Q
908,POINT (-73.91441286119836 40.675091680671215),Saratoga Ballfields,Just Outside Playground,B
909,POINT (-73.93567654072771 40.76227786125426),Ravenswood Playground,In Playground,Q
910,POINT (-73.93458907223871 40.67415580803042),St. John's Recreation Center,Out in Open,B
911,POINT (-73.96990721568723 40.64896341593135),Parade Ground,Out in Open,B
912,POINT (-73.85926692487351 40.76226435493138),Grand Central Parkway Extension,Out in Open,Q
913,POINT (-73.82619448049896 40.58042325409899),Rockaway Beach Boardwalk,Out in Open,Q
914,POINT (-73.80848166960033 40.689786525291446),Norelli-Hargreaves Playground,Out in Open,Q
915,POINT (-74.01762953659062 40.62520542350081),McKinley Park,Near Ballfield,B
916,POINT (-73.97638599015113 40.766243278514345),Central Park,Out in Open,M
917,POINT (-73.94584926197592 40.70100544248037),Bartlett Playground,"Under Tree, Just Outside Playground",B
918,POINT (-73.82771603928383 40.77051924610753),Colden Playground,Near Ballfield,Q
919,POINT (-73.77629126689317 40.728688714146614),Cunningham Park,"Near Ballfield, Out in Open",Q
920,POINT (-74.07800479212811 40.57867167306871),Franklin D. Roosevelt Boardwalk and Beach,Out in Open,R
921,POINT (-73.97331674810019 40.73005176643405),Murphy Brothers Playground,"Just Outside Playground, Near Ballfield",M
922,POINT (-73.94016141572519 40.831623967598944),Highbridge Park,"Under Tree, In Playground",M
923,POINT (-73.87167975774608 40.85840865275319),Bronx Park,Near Ballfield,X
924,POINT (-74.09163387301888 40.56864763880056),Franklin D. Roosevelt Boardwalk and Beach,Under Tree,R
925,POINT (-73.9055094815747 40.863494178779064),Devoe Park,Out in Open,X
926,POINT (-73.99259462756343 40.7630768893132),Hell's Kitchen Park,"Under Tree, In Playground, Near Ballfield",M
927,POINT (-73.981157288543 40.72024247128615),Hamilton Fish Park,In Playground,M
928,POINT (-73.95131047187822 40.82323985996582),Alexander Hamilton Playground,"Under Tree, In Playground",M
929,POINT (-73.90229796210284 40.65669558264814),Brownsville Playground,"Near Ballfield, Out in Open",B
930,POINT (-73.89400367311778 40.86214058719842),Bryan Park,Out in Open,X
931,POINT (-73.90757561394236 40.77129606463569),Ditmars Park,In Playground,Q
932,POINT (-74.0037933130723 40.64766613055224),Sunset Park,In Playground,B
933,POINT (-73.83988417182141 40.747073794419045),Flushing Meadows Corona Park,Out in Open,Q
934,POINT (-73.75809139022529 40.70023822611175),Daniel M. O'Connell Playground,Just Outside Playground,Q
935,POINT (-73.8884205725232 40.80584718690972),Barretto Point Park,In Shade,X
936,POINT (-74.00146713939306 40.59704707686056),Bensonhurst Park,"Near Ballfield, Out in Open",B
937,POINT (-73.87794682763828 40.83428868309161),Playground 174,"In Playground, Under Tree",X
938,POINT (-73.97021424670208 40.609457975986935),Colonel David Marcus Playground,"Under Tree, In Shade",B
939,POINT (-73.76531335972871 40.73933589568147),Cunningham Park,"In Playground, Under Tree",Q
940,POINT (-73.89282577522499 40.891068922212774),Van Cortlandt Park,Under Tree,X
941,POINT (-73.95891246300837 40.765049931928665),St. Catherine's Park,Out in Open,M
942,POINT (-73.96679287004228 40.78255067637951),Central Park,Out in Open,M
943,POINT (-73.97523816012067 40.72535513175659),Dry Dock Playground,"Near Ballfield, Just Outside Playground",M
944,POINT (-73.72085485668941 40.749716175005005),Castlewood Playground,Out in Open,Q
945,POINT (-73.79030535838129 40.78962275583763),Little Bay Park,Out in Open,Q
946,POINT (-73.84888312033954 40.74125044259094),Flushing Meadows Corona Park,In Playground,Q
947,POINT (-73.88120636314618 40.889890621148886),Van Cortlandt Park,,X
948,POINT (-73.9791082538561 40.57313123793297),Coney Island Beach & Boardwalk,Out in Open,B
949,POINT (-73.89068330953168 40.88518937660467),Van Cortlandt Park,"In Playground, Under Tree",X
950,POINT (-74.03977950037383 40.63142967086888),Shore Park and Parkway,Just Outside Playground,B
951,POINT (-73.93456203107486 40.8073332037323),Harlem River Park,"Near Ballfield, Under Tree",M
952,POINT (-73.95671532508064 40.80822602822269),Morningside Park,Near Ballfield,M
953,POINT (-73.90939175016493 40.6921453675064),Irving Square Park,Out in Open,B
954,POINT (-73.97853356694365 40.6767692853851),Park Slope Playground,In Playground,B
955,POINT (-74.02885312877505 40.61499007342589),John J Carty Park,In Playground,B
956,POINT (-74.1063874345895 40.61852605556777),Clove Lakes Park,In Playground,R
957,POINT (-74.01814035705519 40.70989226421826),Battery Park City,Under Tree,M
958,POINT (-74.01472649888572 40.7018171560957),The Battery,Under Tree,M
959,POINT (-73.91243852727207 40.66348032193584),Betsy Head Park,Out in Open,B
960,POINT (-73.88424249009556 40.67766764714974),Sperandeo Brothers Playground,"Out in Open, In Playground",B
961,POINT (-73.87419004646323 40.67889237477151),City Line Park,"Under Tree, In Playground",B
962,POINT (-73.94380470391613 40.673878979169764),Brower Park,Out in Open,B
